ID,BuildingType,NumFloors,LandUse,latitude,longitude
36730,,3.0,02,40.68619660723042,-73.94873029436023
36731,,3.0,01,40.68620881057292,-73.94862379065292
36732,,3.0,02,40.68622125792057,-73.9485151630693
36733,,3.0,02,40.686229434606716,-73.94844380055083
36734,,4.0,04,40.68623757581598,-73.94837276131865
36735,,0.0,11,40.686245629313625,-73.94830208794511
36736,,4.0,02,40.6862539562241,-73.9482301109102
36737,,4.0,04,40.68626211588671,-73.94815857805433
36738,,4.0,08,40.68627019254823,-73.94808809302785
36739,,2.0,08,40.68630485754656,-73.94778730500173
36740,,0.0,10,40.68615231981404,-73.94764819258862
36741,,0.0,10,40.68610074654359,-73.94763900622779
36742,,3.0,02,40.68604544500281,-73.9476281066125
36743,,3.0,02,40.68599017029213,-73.94761721206247
36744,,3.0,04,40.68593391451013,-73.94760612246478
36745,,3.0,02,40.68601816304377,-73.94781968619874
36746,,3.0,01,40.68601001536074,-73.94789057344634
36747,,2.0,01,40.686001886048714,-73.94796130853977
36748,,2.0,01,40.685993562553016,-73.94803371913207
36749,,2.0,01,40.685985462405164,-73.94810419930442
36750,,2.0,01,40.68597728273983,-73.9481756689828
36751,,2.0,02,40.68596893674887,-73.94824764137527
36752,,2.0,01,40.685960847096894,-73.94831836677685
36753,,2.0,01,40.685952682897614,-73.9483894012198
36754,,3.0,01,40.685944481284565,-73.94846075896893
36755,,3.0,01,40.68593634589119,-73.94853155116633
36756,,3.0,01,40.68592822080438,-73.94860223654305
36757,,3.0,01,40.68591975734091,-73.94867587470009
36758,,3.0,01,40.68591164677009,-73.94874643282714
36759,,3.0,01,40.68590358217598,-73.94881659994127
36760,,3.0,01,40.685895731641814,-73.94888490261252
36761,,3.0,01,40.685887646037436,-73.94895524694184
36762,,2.0,01,40.68587889553826,-73.94903084805128
36763,,2.0,01,40.6858709436938,-73.94910118169388
36764,,2.0,01,40.68586283067379,-73.94917114597891
36765,,2.0,01,40.6858543952199,-73.9492445279194
36766,,2.0,01,40.685846279096886,-73.9493151363733
36767,,2.0,01,40.68583869518057,-73.94938111101686
36768,,2.0,01,40.685831856370335,-73.94944061372222
36769,,2.0,01,40.685825144955736,-73.94949899479495
36770,,2.0,01,40.6858180809037,-73.94956045890687
36771,,2.0,01,40.68581116780827,-73.94962060202711
36772,,2.0,01,40.68580439255176,-73.9496795424571
36773,,3.0,01,40.68579586912157,-73.94975369644436
36774,,4.0,02,40.6857754641562,-73.94993120640707
36775,,3.0,01,40.6857558642697,-73.95010171275153
36776,,3.0,01,40.6857475861483,-73.95017396393291
36777,,3.0,02,40.68627287061196,-73.94708151181463
36778,,4.0,02,40.6863971697704,-73.94725211618596
36779,,3.0,04,40.68640743455771,-73.94716474118343
36780,,4.0,04,40.68641561111521,-73.94709382465321
36781,,5.0,02,40.68643189813534,-73.94695259244826
36782,,3.0,02,40.686411125784105,-73.94687573320812
36783,,4.0,02,40.68642059537226,-73.94679361135985
36784,,4.0,02,40.68643116614903,-73.946702918723
36785,,3.0,02,40.68644090760043,-73.94661681571932
36786,,4.0,02,40.68645073571892,-73.94653222460947
36787,,4.0,02,40.686460006928534,-73.94645181940513
36788,,0.0,11,40.68646828221615,-73.94638005478846
36789,,0.0,11,40.68647642381684,-73.94630945180441
36790,,4.0,02,40.68648469234784,-73.94623773927414
36791,,3.0,01,40.68649322799482,-73.94616371237372
36792,,3.0,08,40.6865027438007,-73.94608118434667
36793,,5.0,03,40.68653541748139,-73.94579781249996
36794,,3.0,05,40.686569868932246,-73.94535120510464
36795,,4.0,04,40.686750254352646,-73.9448545714522
36796,,2.0,02,40.686685381454154,-73.94484156561265
36797,,3.0,01,40.68663046842131,-73.94483055475906
36798,,3.0,04,40.68657574211746,-73.94481958342185
36799,,3.0,04,40.686521695646974,-73.94480874711854
36800,,3.0,01,40.68646717853021,-73.94479781711833
36801,,3.0,04,40.68641136407208,-73.94482742140734
36802,,3.0,04,40.6863663976742,-73.94481840729026
36803,,3.0,04,40.686283579415914,-73.94480178353247
36804,,2.5,01,40.68630974750933,-73.94503517871699
36805,,3.0,01,40.68630122817594,-73.94510912737609
36806,,0.0,11,40.686293203795984,-73.9451787887686
36807,,0.0,11,40.68628548679326,-73.94524577657666
36808,,2.0,01,40.68627740405386,-73.94531593232382
36809,,2.0,01,40.68629536761221,-73.94539379819504
36810,,2.0,01,40.686287048276206,-73.9454660205195
36811,,2.0,01,40.68627886637597,-73.94553703558697
36812,,2.0,01,40.68627095685811,-73.94560569266973
36813,,2.0,01,40.686262935416956,-73.94567532008118
36814,,2.0,02,40.686255238137434,-73.94574213591056
36815,,2.0,01,40.6862480455719,-73.94580456896925
36816,,2.0,01,40.68624113338376,-73.94586456487141
