ID,neighbourhood,address,latitude,longitude,type,price,zipcode
283,Clint Hill,"109 Waverly Ave, Brooklyn",,,Studio,2899,11205
284,Clint Hill,"10 Grand Ave, Brooklyn",,,Studio,3695,11205
285,Clint Hill,"253 Cumberland St, Brooklyn",,,Studio,2150,11205
286,Clint Hill,"96 Steuben St, Brooklyn",,,Studio,2734,11205
287,Clint Hill,"219 Clinton Ave, Brooklyn",,,Studio,2550,11205
288,Clint Hill,"295 Washington Ave, Brooklyn",,,Studio,2720,11205
289,Clint Hill,"100 Steuben St, Brooklyn",,,1b,3395,11205
290,Clint Hill,"205 Spencer St, Brooklyn",,,1b,2750,11205
291,Clint Hill,"180 Franklin Ave, Brooklyn",,,1b,3667,11205
292,Clint Hill,"97 Grand Ave, Brooklyn",,,1b,3814,11205
293,Clint Hill,"29 North Elliott Place, Brooklyn",,,1b,3500,11205
294,Clint Hill,"10 Grand Ave, Brooklyn",,,1b,3250,11205
295,Clint Hill,"275 Park Ave, Brooklyn, NY",,,1b,4200,11205
296,Clint Hill,"29 N Elliot Pl, Brooklyn",,,1b,3500,11205
297,Clint Hill,"837 Bedford Ave, Brooklyn, NY",,,1b,2350,11205
298,Clint Hill,"96 Steuben St, Brooklyn",,,1b,3355,11205
299,Clint Hill,"184 Adelphi St, Brooklyn",,,1b,3499,11205
300,Clint Hill,"107 Waverly Ave, Brooklyn",,,1b,3999,11205
301,Clint Hill,"923 Bedford Ave, Brooklyn",,,1b,2950,11205
302,Clint Hill,"122 Ryerson St, Brooklyn",,,1b,2500,11205
303,Clint Hill,"600 Myrtle Ave, Brooklyn",,,1b,2695,11205
304,Clint Hill,"82 Adelphi St, Brooklyn",,,1b,3499,11205
305,Clint Hill,"123 Park Ave, Brooklyn",,,1b,2850,11205
306,Clint Hill,"266 Washington Ave, Brooklyn",,,1b,2999,11205
307,Clint Hill,"253 Cumberland St, Brooklyn",,,1b,2750,11205
308,Clint Hill,"310 Park Ave, Brooklyn",,,1b,2850,11205
309,Clint Hill,"150 Clermont Ave, Brooklyn",,,1b,3600,11205
310,Clint Hill,"87 Adelphi St, Brooklyn",,,1b,3300,11205
311,Clint Hill,"490 Myrtle Ave, Brooklyn",,,1b,3401,11205
312,Clint Hill,"130 Adelphi St, Brooklyn",,,1b,3500,11205
313,Bedford Stuyvesant,"1261 Dean St, Brooklyn",,,Studio,2300,11216
314,Bedford Stuyvesant,"420 Gates Ave, Brooklyn",,,Studio,2890,11216
315,Bedford Stuyvesant,"24 Rogers Ave, Brooklyn",,,Studio,2300,11216
316,Bedford Stuyvesant,"252 Hancock St, Brooklyn",,,Studio,2500,11216
